"user_primary_key","video_min_date","video_max_date","video_days","video_use_time","video_n_life","video_kind_life","vido_n_finish","video_n_school","video_repeat_rate","video_finish_rate","video_school_rate","video_finish_time","video_kind_finish","video_finish_school","video_f_time_mean","video_f_repeat_rate","video_f_school_rate","video_use_time_s1","video_n_s1","video_kind_s1","video_finish_time_s1","video_finish_s1","video_kind_finish_s1","video_finish_time_mean_s1","video_use_time_s2","video_n_s2","video_kind_s2","video_finish_time_s2","video_finish_s2","video_kind_finish_s2","video_finish_time_mean_s2"
"-2150734367526912229",2014-03-04,2015-01-20,322,1630,12,7,6,0,0.583,0.5,0,1498,2,0,249.667,0.333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-216862112318145169",2015-03-23,2015-10-20,211,2423,13,10,10,11,0.769,0.769,0.846,2082,7,9,208.2,0.7,0.9,403,2,2,289,1,1,289,1608,8,5,1608,8,5,201
"-2174919758768058689",2015-09-07,2015-09-07,0,231,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231,1,1,NA,NA,NA,NA
"-2179777198637916065",2015-03-26,2015-10-12,200,3038,21,21,11,20,1,0.524,0.952,1529,11,11,139,1,1,11,1,1,NA,NA,NA,NA,3027,20,20,1529,11,11,139
"-2181955496096014834",2015-09-25,2015-09-25,0,8,1,1,1,1,1,1,1,8,1,1,8,1,1,NA,NA,NA,NA,NA,NA,NA,8,1,1,8,1,1,8
"-2185677373915566814",2015-10-16,2015-10-16,0,83,1,1,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,1,1,NA,NA,NA,NA
"-2197973924305958584",2014-06-09,2014-06-09,0,177,2,2,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2199508746738671654",2015-04-24,2015-04-24,0,304,1,1,1,0,1,1,0,304,1,0,304,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2201596479219420794",2015-02-09,2015-08-25,197,5124,13,13,12,0,1,0.923,0,4961,12,0,413.417,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-220641632927754740",2015-10-27,2015-10-27,0,1027,2,2,2,2,1,1,1,1027,2,2,513.5,1,1,NA,NA,NA,NA,NA,NA,NA,1027,2,2,1027,2,2,513.5
"-2209055266756386342",2015-01-23,2015-01-23,0,483,12,12,1,0,1,0.083,0,45,1,0,45,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"-2211526144020228382",2014-10-30,2015-04-20,172,917,7,6,1,0,0.857,0.143,0,485,1,0,485,1,0,485,1,1,485,1,1,485,NA,NA,NA,NA,NA,NA,NA
"-221376684486224928",2014-10-08,2015-09-14,341,438,6,6,1,0,1,0.167,0,189,1,0,189,1,0,NA,NA,NA,NA,NA,NA,NA,137,4,4,NA,NA,NA,NA
