user_primary_key,total_time_taken_s1,total_attempt_cnt_s1,hint_cnt_s1,review_mode_s1,pretest_mode_s1,n_s1,total_time_taken_s2,total_attempt_cnt_s2,hint_cnt_s2,review_mode_s2,pretest_mode_s2,n_s2,total_time_taken,total_attempt_cnt,hint_cnt,review_mode,pretest_mode,n
-114864253022705159,23.77777777777778,1.4444444444444444,0.2777777777777778,0,0,18,NA,NA,NA,NA,NA,NA,10.072727272727272,1.1363636363636365,0.03409090909090909,0,0,440
-1152122015375285883,35.17777777777778,1.6611111111111112,0.5611111111111111,0.027777777777777776,0,180,NA,NA,NA,NA,NA,NA,24.38021978021978,2.0791208791208793,0.5802197802197803,0.015384615384615385,0,455
-1165686023318091103,6.25,1,0,0,0,8,NA,NA,NA,NA,NA,NA,10.53125,1.3385416666666667,0.08854166666666667,0,0,192
-1196549982680476635,8.610429447852761,1.0705521472392638,0.1441717791411043,0,0,326,NA,NA,NA,NA,NA,NA,97.81286549707602,1.2138680033416875,0.1846282372598162,0.006683375104427736,0,1197
-1213741298761689743,3.2045454545454546,1.0416666666666667,0,0,0,528,28.585106382978722,1.1702127659574468,0.13829787234042554,0.06382978723404255,0.07446808510638298,94,7.116822429906542,1.1440101954120645,0.07221750212404418,0.002548853016142736,0.002973661852166525,2354
-122254896531985960,17.937759336099585,1.103734439834025,0.04149377593360996,0,0,241,NA,NA,NA,NA,NA,NA,17.937759336099585,1.103734439834025,0.04149377593360996,0,0,241
-1248924618554469513,23.642857142857142,1.1785714285714286,0.10714285714285714,0,0,28,NA,NA,NA,NA,NA,NA,23.3,1.25,0.06666666666666667,0,0,60
-1256264877026138905,53.08820798514392,1.6025998142989786,0.9526462395543176,0,0,1077,NA,NA,NA,NA,NA,NA,53.08820798514392,1.6025998142989786,0.9526462395543176,0,0,1077
-1289211783882310211,14.082644628099173,1.1900826446280992,0.2644628099173554,0,0,121,18.307692307692307,1.0769230769230769,0.07692307692307693,0.6923076923076923,0,26,16.652968036529682,1.2009132420091324,0.2191780821917808,0.0410958904109589,0,438
-1300452659965738793,26.76923076923077,1.8461538461538463,0.07692307692307693,0,0,13,NA,NA,NA,NA,NA,NA,20.428571428571427,1.5238095238095237,0.047619047619047616,0,0,21
