user_primary_key_hash,pre_exam,post_exam
6848986524778387057,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6850258233311449194,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6852380120032256853,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6855103386773023280,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6856248473151717425,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6860055609982371812,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6863451956281683017,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6864612993448766265,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6866038121329418909,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6866370952205521218,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6876058108849108997,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
68790611150059583,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6881087423393842750,2015-04-24 18:13:00.26311 UTC,2015-10-30 09:08:06.65825 UTC
6883601111187712681,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6885311205895672558,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6889362592096456821,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6892156044526166223,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6892989303917237117,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6900050183753867464,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6901317895823496078,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6906931639441148077,2015-04-24 07:46:45.63111 UTC,2015-10-30 09:01:24.40038 UTC
6908403867654528781,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6908731186234227444,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6908750082663560713,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
6913640261043004440,2015-04-24 18:11:34.09751 UTC,2015-10-30 09:06:48.43213 UTC
6917009879354377076,2015-04-24 18:07:53.76365 UTC,2015-10-30 09:04:24.15186 UTC
6919794836157141939,2015-04-24 07:49:04.43762 UTC,2015-10-30 09:02:53.15014 UTC
6920258530754000415,2015-04-24 18:10:03.69168 UTC,2015-10-30 09:05:29.91257 UTC
