user_primary_key,point_2015
-1485552482221093763,4805
-248491884361129345,
-2778708672939898317,150
-3433470163611809415,
-3686711893191234926,
-3715227733111006364,
-4441943688004191635,513
-4942342791644804762,
-513539702603788423,
-6306880781519144663,19894
-6744652706624875850,
-748432240367341586,
1660562589671578186,8691
3473717385875670043,1173
4301963970280363422,1350
4611035339869910485,
483912624571648243,
621436307068645520,
648428156503073687,
6657376036814090567,
7396303458693667409,
748322662987664222,9825
7733359042401173061,
8294783231218227861,
8506376139067954770,
8865926320657539471,
961763745068496217,
-1041939985080023904,5148
-1152122015375285883,22376
-1435582915784233435,46910
-2211526144020228382,73525
-2273734551899226084,12146
-3375473768332421310,82647
-351986071551322735,13850
-3925292981178297271,133750
-4132889158856482317,3454
-4409797699689299775,24777
